perturbation,kind,city,guild,blocked_jaccard,ec_real_ha_delta_pct,connected_habitat_pct_delta_pct,n_subnetworks_delta_pct,nb_corridors_delta_pct,nb_failed_corridors_delta_pct
c10_p20,local,Perpignan,ground_reptile,1.0,-0.8,-0.9,0.0,-0.6,1.9
c20_m20,local,Perpignan,ground_reptile,1.0,1.4,1.3,0.0,0.3,-3.0
c20_p20,local,Perpignan,ground_reptile,1.0,-1.0,-0.9,0.0,-0.1,0.4
c30_p20,local,Perpignan,ground_reptile,1.0,-0.9,-0.9,0.0,-0.6,-1.5
c40_m20,local,Perpignan,ground_reptile,1.0,0.4,0.4,0.0,-0.1,-1.1
c40_p20,local,Perpignan,ground_reptile,1.0,-0.3,0.0,0.0,0.1,0.4
c50_m20,local,Perpignan,ground_reptile,1.0,0.1,0.4,0.0,0.2,-1.5
c50_p20,local,Perpignan,ground_reptile,1.0,-0.1,0.0,7.1,-0.5,2.2
c51_m20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
c51_p20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
c52_m20,local,Perpignan,ground_reptile,1.0,0.2,0.4,0.0,1.3,-5.6
c52_p20,local,Perpignan,ground_reptile,1.0,-0.1,0.0,7.1,-0.8,3.3
c53_m20,local,Perpignan,ground_reptile,1.0,1.8,2.2,0.0,1.0,-6.7
c53_p20,local,Perpignan,ground_reptile,1.0,-1.3,-1.3,7.1,-0.4,3.3
c54_m20,local,Perpignan,ground_reptile,1.0,2.1,2.2,0.0,0.7,-3.3
c54_p20,local,Perpignan,ground_reptile,1.0,-1.6,-1.3,0.0,-0.9,3.0
c55_m20,local,Perpignan,ground_reptile,1.0,0.3,0.4,0.0,0.2,-0.7
c55_p20,local,Perpignan,ground_reptile,1.0,-0.2,0.0,0.0,0.0,-0.4
c60_m20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.1,-0.4
c60_p20,local,Perpignan,ground_reptile,1.0,-0.0,0.0,0.0,0.0,0.4
c80_m20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
c80_p20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
c90_m20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
c90_p20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
c95_m20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
c95_p20,local,Perpignan,ground_reptile,1.0,0.0,0.0,0.0,0.0,0.0
d0_m25,local,Perpignan,ground_reptile,1.0,-9.8,-9.5,42.9,-6.6,22.2
d0_p25,local,Perpignan,ground_reptile,1.0,13.6,13.9,0.0,4.4,-17.0
fric_m20,local,Perpignan,ground_reptile,1.0,8.6,8.7,0.0,4.4,-17.8
fric_p20,local,Perpignan,ground_reptile,1.0,-6.4,-6.1,35.7,-4.3,17.4
swd0_050,sweep,Perpignan,ground_reptile,1.0,-21.1,-20.8,78.6,-16.4,51.1
swd0_060,sweep,Perpignan,ground_reptile,1.0,-16.4,-16.5,50.0,-12.3,40.4
swd0_070,sweep,Perpignan,ground_reptile,1.0,-12.0,-11.7,50.0,-7.9,27.4
swd0_075,sweep,Perpignan,ground_reptile,1.0,,,,,
swd0_080,sweep,Perpignan,ground_reptile,1.0,-7.8,-7.8,35.7,-5.4,20.0
swd0_090,sweep,Perpignan,ground_reptile,1.0,-3.8,-3.5,7.1,-2.1,7.0
swd0_110,sweep,Perpignan,ground_reptile,1.0,5.0,5.2,0.0,2.1,-8.9
swd0_120,sweep,Perpignan,ground_reptile,1.0,11.6,11.7,0.0,3.8,-13.0
swfc_000,sweep,Perpignan,ground_reptile,1.0,118.3,118.6,-92.9,22.0,-96.3
swfc_025,sweep,Perpignan,ground_reptile,1.0,38.7,39.0,-71.4,17.1,-76.3
swfc_050,sweep,Perpignan,ground_reptile,1.0,18.6,18.6,-42.9,9.6,-44.1
swfc_075,sweep,Perpignan,ground_reptile,1.0,7.4,7.8,-7.1,3.9,-20.4
swfc_125,sweep,Perpignan,ground_reptile,1.0,-5.4,-5.2,28.6,-3.7,16.3
swfc_150,sweep,Perpignan,ground_reptile,1.0,-9.7,-9.5,42.9,-7.3,32.6
swfc_200,sweep,Perpignan,ground_reptile,1.0,-15.9,-16.0,57.1,-13.0,55.9
fric_m20,local,LaRochelle,ground_mammal,0.0,6.5,6.7,0.0,0.1,-33.3
fric_p20,local,LaRochelle,ground_mammal,0.0,-4.7,-4.5,0.0,-0.4,105.6
swd0_050,sweep,LaRochelle,ground_mammal,0.0,-15.6,-15.5,200.0,-5.0,1200.0
swd0_060,sweep,LaRochelle,ground_mammal,0.0,-12.3,-12.2,100.0,-2.6,633.3
swd0_070,sweep,LaRochelle,ground_mammal,0.0,-8.7,-8.5,0.0,-1.5,355.6
swd0_080,sweep,LaRochelle,ground_mammal,0.0,-5.7,-5.5,0.0,-0.6,138.9
swd0_090,sweep,LaRochelle,ground_mammal,0.0,-2.8,-2.7,0.0,-0.2,33.3
swd0_110,sweep,LaRochelle,ground_mammal,0.0,2.7,2.7,0.0,0.1,-22.2
swd0_120,sweep,LaRochelle,ground_mammal,0.0,5.2,5.2,0.0,0.1,-33.3
swfc_000,sweep,LaRochelle,ground_mammal,0.0,102.6,102.7,0.0,-0.1,-72.2
swfc_025,sweep,LaRochelle,ground_mammal,0.0,37.8,37.9,0.0,0.1,-61.1
swfc_050,sweep,LaRochelle,ground_mammal,0.0,17.6,17.7,0.0,0.1,-50.0
swfc_075,sweep,LaRochelle,ground_mammal,0.0,6.8,7.0,0.0,0.1,-33.3
swfc_125,sweep,LaRochelle,ground_mammal,0.0,-4.8,-4.7,0.0,-0.5,111.1
swfc_150,sweep,LaRochelle,ground_mammal,0.0,-8.4,-8.2,0.0,-1.3,316.7
swfc_200,sweep,LaRochelle,ground_mammal,0.0,-13.7,-13.5,100.0,-3.8,916.7
fric_m20,local,LaRochelle,ground_reptile,0.0,5.0,5.1,-57.1,7.5,-33.2
fric_p20,local,LaRochelle,ground_reptile,0.0,-3.7,-3.9,128.6,-6.7,29.7
swd0_050,sweep,LaRochelle,ground_reptile,0.0,-12.7,-12.8,585.7,-26.1,96.2
swd0_060,sweep,LaRochelle,ground_reptile,0.0,-9.7,-9.9,385.7,-19.3,73.5
swd0_070,sweep,LaRochelle,ground_reptile,0.0,-7.0,-7.2,300.0,-13.0,51.8
swd0_080,sweep,LaRochelle,ground_reptile,0.0,-4.5,-4.5,171.4,-8.1,33.2
swd0_090,sweep,LaRochelle,ground_reptile,0.0,-2.2,-2.1,50.0,-3.6,15.1
swd0_110,sweep,LaRochelle,ground_reptile,0.0,2.1,2.1,-35.7,3.3,-14.1
swd0_120,sweep,LaRochelle,ground_reptile,0.0,4.1,4.2,-50.0,6.1,-27.3
swfc_000,sweep,LaRochelle,ground_reptile,0.0,58.9,58.8,-92.9,21.9,-98.6
swfc_025,sweep,LaRochelle,ground_reptile,0.0,22.1,22.1,-92.9,20.4,-91.0
swfc_050,sweep,LaRochelle,ground_reptile,0.0,11.0,11.0,-85.7,14.5,-64.6
swfc_075,sweep,LaRochelle,ground_reptile,0.0,4.3,4.2,-57.1,7.3,-32.5
swfc_125,sweep,LaRochelle,ground_reptile,0.0,-3.2,-3.3,107.1,-6.3,28.4
swfc_150,sweep,LaRochelle,ground_reptile,0.0,-5.8,-5.7,264.3,-11.4,51.1
swfc_200,sweep,LaRochelle,ground_reptile,0.0,-9.6,-9.6,471.4,-20.5,91.6
